ID,Team name
0,"Royal Challengers Bangalore"
1,"Delhi Capitals"
2,"Rising Pune Supergiants"
3,"Kochi Tuskers Kerala"
4,"Gujarat Lions"
5,"Sunrisers Hyderabad"
6,"Kolkata Knight Riders"
7,"Delhi Daredevils"
8,"Rajasthan Royals"
9,"Pune Warriors"
10,"Deccan Chargers"
11,"Kings XI Punjab"
12,"Chennai Super Kings"
13,"Mumbai Indians"
