match_id,batting_team,bowling_team,Balls Remaining,Current Score,Total Score,Wickets,Home,Toss,diff,Runrate,Partnership,Runs per wicket
11338,Kolkata Knight Riders,Mumbai Indians,119,4,241,0,1,0,-4,24,4,96
11338,Kolkata Knight Riders,Mumbai Indians,118,8,241,0,1,0,-4,24,8,96
11338,Kolkata Knight Riders,Mumbai Indians,117,8,241,0,1,0,-4,16,8,96
11338,Kolkata Knight Riders,Mumbai Indians,116,14,241,0,1,0,-4,21,14,96
11338,Kolkata Knight Riders,Mumbai Indians,115,14,241,0,1,0,-4,16.8,14,96
11338,Kolkata Knight Riders,Mumbai Indians,114,14,241,0,1,0,-4,14,14,96
11338,Kolkata Knight Riders,Mumbai Indians,113,14,241,0,1,0,-4,12,14,96
11338,Kolkata Knight Riders,Mumbai Indians,112,14,241,0,1,0,-4,10.5,14,96
11338,Kolkata Knight Riders,Mumbai Indians,111,14,241,0,1,0,-4,9.333333333,14,96
11338,Kolkata Knight Riders,Mumbai Indians,110,14,241,0,1,0,-4,8.4,14,96
11338,Kolkata Knight Riders,Mumbai Indians,109,15,241,0,1,0,-4,8.181818182,15,96
11338,Kolkata Knight Riders,Mumbai Indians,108,16,241,0,1,0,-4,8,16,96
11338,Kolkata Knight Riders,Mumbai Indians,107,17,241,0,1,0,-4,7.846153846,17,96
11338,Kolkata Knight Riders,Mumbai Indians,106,17,241,0,1,0,-4,7.285714286,17,96
11338,Kolkata Knight Riders,Mumbai Indians,105,18,241,0,1,0,-4,7.2,18,96
11338,Kolkata Knight Riders,Mumbai Indians,104,18,241,0,1,0,-4,6.75,18,96
11338,Kolkata Knight Riders,Mumbai Indians,103,18,241,0,1,0,-4,6.352941176,18,96
11338,Kolkata Knight Riders,Mumbai Indians,102,19,241,0,1,0,-4,6.333333333,19,96
11338,Kolkata Knight Riders,Mumbai Indians,101,20,241,0,1,0,-4,6.315789474,20,96
11338,Kolkata Knight Riders,Mumbai Indians,100,24,241,0,1,0,-4,7.2,24,96
11338,Kolkata Knight Riders,Mumbai Indians,99,25,241,0,1,0,-4,7.142857143,25,96
11338,Kolkata Knight Riders,Mumbai Indians,98,26,241,0,1,0,-4,7.090909091,26,96
11338,Kolkata Knight Riders,Mumbai Indians,97,30,241,0,1,0,-4,7.826086957,30,96
11338,Kolkata Knight Riders,Mumbai Indians,96,31,241,0,1,0,-4,7.75,31,96
11338,Kolkata Knight Riders,Mumbai Indians,95,32,241,0,1,0,-4,7.68,32,96
11338,Kolkata Knight Riders,Mumbai Indians,94,33,241,0,1,0,-4,7.615384615,33,96
11338,Kolkata Knight Riders,Mumbai Indians,93,37,241,0,1,0,-4,8.222222222,37,96
11338,Kolkata Knight Riders,Mumbai Indians,92,37,241,0,1,0,-4,7.928571429,37,96
11338,Kolkata Knight Riders,Mumbai Indians,91,38,241,0,1,0,-4,7.862068966,38,96
11338,Kolkata Knight Riders,Mumbai Indians,90,39,241,0,1,0,-4,7.8,39,96
11338,Kolkata Knight Riders,Mumbai Indians,89,40,241,0,1,0,-4,7.741935484,40,96
11338,Kolkata Knight Riders,Mumbai Indians,88,40,241,0,1,0,-4,7.5,40,96
11338,Kolkata Knight Riders,Mumbai Indians,87,41,241,0,1,0,-4,7.454545455,41,96
11338,Kolkata Knight Riders,Mumbai Indians,86,45,241,0,1,0,-4,7.941176471,45,96
11338,Kolkata Knight Riders,Mumbai Indians,85,46,241,0,1,0,-4,7.885714286,46,96
11338,Kolkata Knight Riders,Mumbai Indians,84,50,241,0,1,0,-4,8.333333333,50,96
11338,Kolkata Knight Riders,Mumbai Indians,83,51,241,0,1,0,-4,8.27027027,51,96
11338,Kolkata Knight Riders,Mumbai Indians,82,51,241,0,1,0,-4,8.052631579,51,96
11338,Kolkata Knight Riders,Mumbai Indians,81,55,241,0,1,0,-4,8.461538462,55,96
11338,Kolkata Knight Riders,Mumbai Indians,80,61,241,0,1,0,-4,9.15,61,96
11338,Kolkata Knight Riders,Mumbai Indians,79,62,241,0,1,0,-4,9.073170732,62,96
11338,Kolkata Knight Riders,Mumbai Indians,78,63,241,0,1,0,-4,9,63,96
11338,Kolkata Knight Riders,Mumbai Indians,77,64,241,0,1,0,-4,8.930232558,64,96
11338,Kolkata Knight Riders,Mumbai Indians,76,68,241,0,1,0,-4,9.272727273,68,96
11338,Kolkata Knight Riders,Mumbai Indians,75,74,241,0,1,0,-4,9.866666667,74,96
11338,Kolkata Knight Riders,Mumbai Indians,74,75,241,0,1,0,-4,9.782608696,75,96
11338,Kolkata Knight Riders,Mumbai Indians,73,75,241,0,1,0,-4,9.574468085,75,96
11338,Kolkata Knight Riders,Mumbai Indians,72,76,241,0,1,0,-4,9.5,76,96
11338,Kolkata Knight Riders,Mumbai Indians,71,76,241,0,1,0,-4,9.306122449,76,96
11338,Kolkata Knight Riders,Mumbai Indians,70,77,241,0,1,0,-4,9.24,77,96
11338,Kolkata Knight Riders,Mumbai Indians,69,81,241,0,1,0,-4,9.529411765,81,96
11338,Kolkata Knight Riders,Mumbai Indians,68,82,241,0,1,0,-4,9.461538462,82,96
11338,Kolkata Knight Riders,Mumbai Indians,67,85,241,0,1,0,-4,9.622641509,85,96
11338,Kolkata Knight Riders,Mumbai Indians,66,89,241,0,1,0,-4,9.888888889,89,96
11338,Kolkata Knight Riders,Mumbai Indians,65,95,241,0,1,0,-4,10.36363636,95,96
11338,Kolkata Knight Riders,Mumbai Indians,64,96,241,0,1,0,-4,10.28571429,96,96
11338,Kolkata Knight Riders,Mumbai Indians,63,96,241,1,1,0,-4,10.10526316,0,66
11338,Kolkata Knight Riders,Mumbai Indians,62,97,241,1,1,0,-4,10.03448276,1,66
11338,Kolkata Knight Riders,Mumbai Indians,61,97,241,1,1,0,-4,9.86440678,1,66
11338,Kolkata Knight Riders,Mumbai Indians,60,97,241,1,1,0,-4,9.7,1,66
11338,Kolkata Knight Riders,Mumbai Indians,59,101,241,1,1,0,-4,9.93442623,5,66
11338,Kolkata Knight Riders,Mumbai Indians,58,103,241,1,1,0,-4,9.967741935,7,66
11338,Kolkata Knight Riders,Mumbai Indians,57,104,241,1,1,0,-4,9.904761905,8,66
11338,Kolkata Knight Riders,Mumbai Indians,56,104,241,1,1,0,-4,9.75,8,66
11338,Kolkata Knight Riders,Mumbai Indians,55,105,241,1,1,0,-4,9.692307692,9,66
11338,Kolkata Knight Riders,Mumbai Indians,54,106,241,1,1,0,-4,9.636363636,10,66
11338,Kolkata Knight Riders,Mumbai Indians,53,107,241,1,1,0,-4,9.582089552,11,66
11338,Kolkata Knight Riders,Mumbai Indians,52,111,241,1,1,0,-4,9.794117647,15,66
11338,Kolkata Knight Riders,Mumbai Indians,51,111,241,1,1,0,-4,9.652173913,15,66
11338,Kolkata Knight Riders,Mumbai Indians,50,112,241,1,1,0,-4,9.6,16,66
11338,Kolkata Knight Riders,Mumbai Indians,49,118,241,1,1,0,-4,9.971830986,22,66
11338,Kolkata Knight Riders,Mumbai Indians,48,119,241,1,1,0,-4,9.916666667,23,66
11338,Kolkata Knight Riders,Mumbai Indians,47,119,241,1,1,0,-4,9.780821918,23,66
11338,Kolkata Knight Riders,Mumbai Indians,46,120,241,1,1,0,-4,9.72972973,24,66
11338,Kolkata Knight Riders,Mumbai Indians,45,120,241,1,1,0,-4,9.6,24,66
11338,Kolkata Knight Riders,Mumbai Indians,45,122,241,1,1,0,-4,9.76,26,66
11338,Kolkata Knight Riders,Mumbai Indians,44,122,241,1,1,0,-4,9.631578947,26,66
11338,Kolkata Knight Riders,Mumbai Indians,44,124,241,1,1,0,-4,9.789473684,28,66
11338,Kolkata Knight Riders,Mumbai Indians,43,124,241,1,1,0,-4,9.662337662,28,66
11338,Kolkata Knight Riders,Mumbai Indians,43,126,241,1,1,0,-4,9.818181818,30,66
11338,Kolkata Knight Riders,Mumbai Indians,42,126,241,1,1,0,-4,9.692307692,30,66
11338,Kolkata Knight Riders,Mumbai Indians,42,128,241,1,1,0,-4,9.846153846,32,66
11338,Kolkata Knight Riders,Mumbai Indians,41,134,241,1,1,0,-4,10.17721519,38,66
11338,Kolkata Knight Riders,Mumbai Indians,40,134,241,1,1,0,-4,10.05,38,66
11338,Kolkata Knight Riders,Mumbai Indians,39,135,241,1,1,0,-4,10,39,66
11338,Kolkata Knight Riders,Mumbai Indians,38,135,241,1,1,0,-4,9.87804878,39,66
11338,Kolkata Knight Riders,Mumbai Indians,37,141,241,1,1,0,-4,10.19277108,45,66
11338,Kolkata Knight Riders,Mumbai Indians,36,147,241,1,1,0,-4,10.5,51,66
11338,Kolkata Knight Riders,Mumbai Indians,35,151,241,1,1,0,-4,10.65882353,55,66
11338,Kolkata Knight Riders,Mumbai Indians,34,155,241,1,1,0,-4,10.81395349,59,66
11338,Kolkata Knight Riders,Mumbai Indians,33,156,241,1,1,0,-4,10.75862069,60,66
11338,Kolkata Knight Riders,Mumbai Indians,32,160,241,1,1,0,-4,10.90909091,64,66
11338,Kolkata Knight Riders,Mumbai Indians,31,160,241,1,1,0,-4,10.78651685,64,66
11338,Kolkata Knight Riders,Mumbai Indians,30,161,241,1,1,0,-4,10.73333333,65,66
11338,Kolkata Knight Riders,Mumbai Indians,29,162,241,1,1,0,-4,10.68131868,66,66
11338,Kolkata Knight Riders,Mumbai Indians,28,162,241,2,1,0,-4,10.56521739,0,79
11338,Kolkata Knight Riders,Mumbai Indians,27,162,241,2,1,0,-4,10.4516129,0,79
11338,Kolkata Knight Riders,Mumbai Indians,26,163,241,2,1,0,-4,10.40425532,1,79
11338,Kolkata Knight Riders,Mumbai Indians,25,164,241,2,1,0,-4,10.35789474,2,79
11338,Kolkata Knight Riders,Mumbai Indians,24,168,241,2,1,0,-4,10.5,6,79
11338,Kolkata Knight Riders,Mumbai Indians,23,169,241,2,1,0,-4,10.45360825,7,79
11338,Kolkata Knight Riders,Mumbai Indians,22,170,241,2,1,0,-4,10.40816327,8,79
11338,Kolkata Knight Riders,Mumbai Indians,21,174,241,2,1,0,-4,10.54545455,12,79
11338,Kolkata Knight Riders,Mumbai Indians,20,180,241,2,1,0,-4,10.8,18,79
11338,Kolkata Knight Riders,Mumbai Indians,19,181,241,2,1,0,-4,10.75247525,19,79
11338,Kolkata Knight Riders,Mumbai Indians,18,181,241,2,1,0,-4,10.64705882,19,79
11338,Kolkata Knight Riders,Mumbai Indians,17,182,241,2,1,0,-4,10.60194175,20,79
11338,Kolkata Knight Riders,Mumbai Indians,16,188,241,2,1,0,-4,10.84615385,26,79
11338,Kolkata Knight Riders,Mumbai Indians,15,194,241,2,1,0,-4,11.08571429,32,79
11338,Kolkata Knight Riders,Mumbai Indians,14,194,241,2,1,0,-4,10.98113208,32,79
11338,Kolkata Knight Riders,Mumbai Indians,13,200,241,2,1,0,-4,11.21495327,38,79
11338,Kolkata Knight Riders,Mumbai Indians,12,201,241,2,1,0,-4,11.16666667,39,79
11338,Kolkata Knight Riders,Mumbai Indians,12,203,241,2,1,0,-4,11.27777778,41,79
11338,Kolkata Knight Riders,Mumbai Indians,11,203,241,2,1,0,-4,11.17431193,41,79
11338,Kolkata Knight Riders,Mumbai Indians,10,204,241,2,1,0,-4,11.12727273,42,79
11338,Kolkata Knight Riders,Mumbai Indians,10,207,241,2,1,0,-4,11.29090909,45,79
11338,Kolkata Knight Riders,Mumbai Indians,9,211,241,2,1,0,-4,11.40540541,49,79
11338,Kolkata Knight Riders,Mumbai Indians,8,217,241,2,1,0,-4,11.625,55,79
11338,Kolkata Knight Riders,Mumbai Indians,7,217,241,2,1,0,-4,11.52212389,55,79
11338,Kolkata Knight Riders,Mumbai Indians,6,219,241,2,1,0,-4,11.52631579,57,79
11338,Kolkata Knight Riders,Mumbai Indians,5,221,241,2,1,0,-4,11.53043478,59,79
11338,Kolkata Knight Riders,Mumbai Indians,4,227,241,2,1,0,-4,11.74137931,65,79
11338,Kolkata Knight Riders,Mumbai Indians,3,231,241,2,1,0,-4,11.84615385,69,79
11338,Kolkata Knight Riders,Mumbai Indians,2,235,241,2,1,0,-4,11.94915254,73,79
11338,Kolkata Knight Riders,Mumbai Indians,1,235,241,2,1,0,-4,11.8487395,73,79
11338,Kolkata Knight Riders,Mumbai Indians,0,235,241,2,1,0,-4,11.75,73,79
11338,Kolkata Knight Riders,Mumbai Indians,-1,241,241,2,1,0,-4,11.95041322,79,79
