match_id,batting_team,bowling_team,Balls Remaining,Current Score,Total Score,Wickets,Home,Toss,diff,Runrate,Partnership,Runs per wicket
11331,Rajasthan Royals,Delhi Capitals,61,95,196,1,1,0,-4,9.661016949,90,133
11331,Rajasthan Royals,Delhi Capitals,60,96,196,1,1,0,-4,9.6,91,133
11331,Rajasthan Royals,Delhi Capitals,59,97,196,1,1,0,-4,9.540983607,92,133
11331,Rajasthan Royals,Delhi Capitals,58,101,196,1,1,0,-4,9.774193548,96,133
11331,Rajasthan Royals,Delhi Capitals,57,105,196,1,1,0,-4,10,100,133
11331,Rajasthan Royals,Delhi Capitals,56,105,196,1,1,0,-4,9.84375,100,133
11331,Rajasthan Royals,Delhi Capitals,55,106,196,1,1,0,-4,9.784615385,101,133
11331,Rajasthan Royals,Delhi Capitals,54,107,196,1,1,0,-4,9.727272727,102,133
11331,Rajasthan Royals,Delhi Capitals,54,109,196,1,1,0,-4,9.909090909,104,133
11331,Rajasthan Royals,Delhi Capitals,53,110,196,1,1,0,-4,9.850746269,105,133
11331,Rajasthan Royals,Delhi Capitals,52,114,196,1,1,0,-4,10.05882353,109,133
11331,Rajasthan Royals,Delhi Capitals,51,118,196,1,1,0,-4,10.26086957,113,133
11331,Rajasthan Royals,Delhi Capitals,50,122,196,1,1,0,-4,10.45714286,117,133
11331,Rajasthan Royals,Delhi Capitals,50,124,196,1,1,0,-4,10.62857143,119,133
11331,Rajasthan Royals,Delhi Capitals,49,125,196,1,1,0,-4,10.56338028,120,133
11331,Rajasthan Royals,Delhi Capitals,48,125,196,1,1,0,-4,10.41666667,120,133
11331,Rajasthan Royals,Delhi Capitals,47,126,196,1,1,0,-4,10.35616438,121,133
11331,Rajasthan Royals,Delhi Capitals,46,132,196,1,1,0,-4,10.7027027,127,133
11331,Rajasthan Royals,Delhi Capitals,45,136,196,1,1,0,-4,10.88,131,133
11331,Rajasthan Royals,Delhi Capitals,44,137,196,1,1,0,-4,10.81578947,132,133
11331,Rajasthan Royals,Delhi Capitals,43,137,196,1,1,0,-4,10.67532468,132,133
11331,Rajasthan Royals,Delhi Capitals,42,138,196,1,1,0,-4,10.61538462,133,133
11331,Rajasthan Royals,Delhi Capitals,41,138,196,2,1,0,-4,10.48101266,0,23
11331,Rajasthan Royals,Delhi Capitals,40,138,196,2,1,0,-4,10.35,0,23
11331,Rajasthan Royals,Delhi Capitals,39,139,196,2,1,0,-4,10.2962963,1,23
11331,Rajasthan Royals,Delhi Capitals,38,140,196,2,1,0,-4,10.24390244,2,23
11331,Rajasthan Royals,Delhi Capitals,37,140,196,2,1,0,-4,10.12048193,2,23
11331,Rajasthan Royals,Delhi Capitals,36,142,196,2,1,0,-4,10.14285714,4,23
11331,Rajasthan Royals,Delhi Capitals,35,144,196,2,1,0,-4,10.16470588,6,23
11331,Rajasthan Royals,Delhi Capitals,34,148,196,2,1,0,-4,10.3255814,10,23
11331,Rajasthan Royals,Delhi Capitals,33,148,196,2,1,0,-4,10.20689655,10,23
11331,Rajasthan Royals,Delhi Capitals,32,149,196,2,1,0,-4,10.15909091,11,23
11331,Rajasthan Royals,Delhi Capitals,31,153,196,2,1,0,-4,10.31460674,15,23
11331,Rajasthan Royals,Delhi Capitals,30,154,196,2,1,0,-4,10.26666667,16,23
11331,Rajasthan Royals,Delhi Capitals,29,156,196,2,1,0,-4,10.28571429,18,23
11331,Rajasthan Royals,Delhi Capitals,28,160,196,2,1,0,-4,10.43478261,22,23
11331,Rajasthan Royals,Delhi Capitals,27,160,196,2,1,0,-4,10.32258065,22,23
11331,Rajasthan Royals,Delhi Capitals,26,161,196,2,1,0,-4,10.27659574,23,23
11331,Rajasthan Royals,Delhi Capitals,25,161,196,3,1,0,-4,10.16842105,0,6
11331,Rajasthan Royals,Delhi Capitals,24,162,196,3,1,0,-4,10.125,1,6
11331,Rajasthan Royals,Delhi Capitals,23,164,196,3,1,0,-4,10.1443299,3,6
11331,Rajasthan Royals,Delhi Capitals,22,166,196,3,1,0,-4,10.16326531,5,6
11331,Rajasthan Royals,Delhi Capitals,21,167,196,3,1,0,-4,10.12121212,6,6
11331,Rajasthan Royals,Delhi Capitals,20,167,196,4,1,0,-4,10.02,0,25
11331,Rajasthan Royals,Delhi Capitals,19,169,196,4,1,0,-4,10.03960396,2,25
11331,Rajasthan Royals,Delhi Capitals,18,169,196,4,1,0,-4,9.941176471,2,25
11331,Rajasthan Royals,Delhi Capitals,17,170,196,4,1,0,-4,9.902912621,3,25
11331,Rajasthan Royals,Delhi Capitals,16,172,196,4,1,0,-4,9.923076923,5,25
11331,Rajasthan Royals,Delhi Capitals,15,176,196,4,1,0,-4,10.05714286,9,25
11331,Rajasthan Royals,Delhi Capitals,14,177,196,4,1,0,-4,10.01886792,10,25
11331,Rajasthan Royals,Delhi Capitals,13,178,196,4,1,0,-4,9.981308411,11,25
11331,Rajasthan Royals,Delhi Capitals,12,179,196,4,1,0,-4,9.944444444,12,25
11331,Rajasthan Royals,Delhi Capitals,11,180,196,4,1,0,-4,9.908256881,13,25
11331,Rajasthan Royals,Delhi Capitals,10,181,196,4,1,0,-4,9.872727273,14,25
11331,Rajasthan Royals,Delhi Capitals,9,183,196,4,1,0,-4,9.891891892,16,25
11331,Rajasthan Royals,Delhi Capitals,8,183,196,4,1,0,-4,9.803571429,16,25
11331,Rajasthan Royals,Delhi Capitals,7,183,196,4,1,0,-4,9.716814159,16,25
11331,Rajasthan Royals,Delhi Capitals,6,187,196,4,1,0,-4,9.842105263,20,25
11331,Rajasthan Royals,Delhi Capitals,5,188,196,4,1,0,-4,9.808695652,21,25
11331,Rajasthan Royals,Delhi Capitals,4,190,196,4,1,0,-4,9.827586207,23,25
11331,Rajasthan Royals,Delhi Capitals,4,192,196,4,1,0,-4,9.931034483,25,25
11331,Rajasthan Royals,Delhi Capitals,3,192,196,5,1,0,-4,9.846153846,0,4
11331,Rajasthan Royals,Delhi Capitals,2,192,196,5,1,0,-4,9.762711864,0,4
11331,Rajasthan Royals,Delhi Capitals,1,196,196,5,1,0,-4,9.882352941,4,4
11331,Rajasthan Royals,Delhi Capitals,0,196,196,6,1,0,-4,9.8,0,0
